geheimzinnigs,mysterious
betrokken,involved/concerned with
gluurde (gluren),peeked
bewolkte,cloudy
hemel,heaven
neuriend,humming
fladderen,flutter
wang,cheek
woedeaanval,tantrum
smeet (smeten),threw
grinnikte (grinniken),chuckled
plattegrond,map/street sign
drong (drinken), drank
gezichtsbedrog,optical illusion
schudde (schudden),shook
gedachten,thoughts
mijmeringen,musings
gebruikelijke,usual/normal
ongebruikelijke,unusual
vreemdegklede [mensen],strangely dressed [people]
mantels,robes/cloaks
tegenwoordig,nowadays
modegril,fad/trend
trommelde,drummed
opgewonden,excited/agitated
smaragdgroene,emerald green
plotseling,suddenly
besefte,realized
waarschijnlijk,probably/likely
zamelden,collected
klarlichte,broad daylight
overvlogen (overvliegen),flew over
terwijl,while/whilst/during
uil,owl
uilloze,owl-less
wind van voren,headwind
benen te strekken,stretch the legs
nijdig,angry/cross
zenuwachtig,nervous/twitchy
fluisteraars,whisperers
tenslotte,finally/eventually
